valor_original,valor_normalizado,raw_norm,stripped,codigo_dane_sugerido,nombre_dane_sugerido,departamento_sugerido,metodo_nuevo,confianza_nueva,estado_revision,motivo,top_1_codigo,top_1_nombre,top_1_departamento,top_1_score_nuevo,top_2_codigo,top_2_nombre,top_2_departamento,top_2_score_nuevo,top_3_codigo,top_3_nombre,top_3_departamento,top_3_score_nuevo
Tulua- Valle Del Cauca,TULUA VALLE DEL CAUCA,TULUA VALLE DEL CAUCA,TULUA,76834,TULUÁ,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
"Tuluá , Valle del Cauca",TULUA VALLE DEL CAUCA,TULUA VALLE DEL CAUCA,TULUA,76834,TULUÁ,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
Tuluá - Valle del Cauca,TULUA VALLE DEL CAUCA,TULUA VALLE DEL CAUCA,TULUA,76834,TULUÁ,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
Tuluá Valle del Cauca,TULUA VALLE DEL CAUCA,TULUA VALLE DEL CAUCA,TULUA,76834,TULUÁ,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
"Tuluá, Valle del Cauca",TULUA VALLE DEL CAUCA,TULUA VALLE DEL CAUCA,TULUA,76834,TULUÁ,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
Valle del Cauca - Candelaria,VALLE DEL CAUCA CANDELARIA,VALLE DEL CAUCA CANDELARIA,CANDELARIA,76130,CANDELARIA,VALLE DEL CAUCA,exact,97.00,AUTO_APROBADO,nombre ambiguo resuelto por departamento explicito en el texto,,,,,,,,,,,,
Valle del Cauca Buenaventura,VALLE DEL CAUCA BUENAVENTURA,VALLE DEL CAUCA BUENAVENTURA,BUENAVENTURA,76109,BUENAVENTURA,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
Valle del Cauca Tulua,VALLE DEL CAUCA TULUA,VALLE DEL CAUCA TULUA,TULUA,76834,TULUÁ,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
ZARZAL,ZARZAL,ZARZAL,ZARZAL,76895,ZARZAL,VALLE DEL CAUCA,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
"ZARZAL , VALLE DEL CAUCA",ZARZAL VALLE DEL CAUCA,ZARZAL VALLE DEL CAUCA,ZARZAL,76895,ZARZAL,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
ZARZAL - VALLE DEL CAUCA,ZARZAL VALLE DEL CAUCA,ZARZAL VALLE DEL CAUCA,ZARZAL,76895,ZARZAL,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
ZARZAL VALLE DEL CAUCA,ZARZAL VALLE DEL CAUCA,ZARZAL VALLE DEL CAUCA,ZARZAL,76895,ZARZAL,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
ABREGO,ABREGO,ABREGO,ABREGO,54003,ÁBREGO,NORTE DE SANTANDER,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
ABREGO NORTE DE SANTANDER,ABREGO NORTE DE SANTANDER,ABREGO NORTE DE SANTANDER,ABREGO,54003,ÁBREGO,NORTE DE SANTANDER,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
ABREGO-NORTE DE SANTANDER,ABREGO NORTE DE SANTANDER,ABREGO NORTE DE SANTANDER,ABREGO,54003,ÁBREGO,NORTE DE SANTANDER,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
ACACIAS,ACACIAS,ACACIAS,ACACIAS,50006,ACACÍAS,META,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
ACACIAS - META,ACACIAS META,ACACIAS META,ACACIAS,50006,ACACÍAS,META,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
