nombre_normalizado,match,nombre_oficial,tipo,fuente,municipio,departamento,sector,estado
ALCALDIA DE BARBACOAS,True,ALCALDIA DE BARBACOAS,publica,gov,BARBACOAS,NARIÑO,NO APLICA,ACTIVA
ALCALDIA DE BARBOSA,False,,,,,,,
ALCALDIA DE BARBOSA ANTIOQUIA,True,ALCALDIA DE BARBOSA - ANTIOQUIA,publica,gov,BARBOSA,ANTIOQUIA,NO APLICA,ACTIVA
ALCALDIA DE BARBOSA DEPARTAMENTO DE ANTIOQUIA,False,,,,,,,
ALCALDIA DE BARR,False,,,,,,,
ALCALDIA DE BARRA,False,,,,,,,
ALCALDIA DE BARRAANQUILLA,False,,,,,,,
ALCALDIA DE BARRACABERMEJA,False,,,,,,,
ALCALDIA DE BARRAMQUILLA,False,,,,,,,
ALCALDIA DE BARRANCA,False,,,,,,,
ALCALDIA DE BARRANCABERMEJA,True,ALCALDIA DE BARRANCABERMEJA,publica,gov,BARRANCABERMEJA,SANTANDER,NO APLICA,ACTIVA
ALCALDIA DE BARRANCAS,True,ALCALDIA DE BARRANCAS,publica,gov,BARRANCAS,LA GUAJIRA,NO APLICA,ACTIVA
ALCALDIA DE BARRANCAS HISTORIA DE CAMBIO,False,,,,,,,
ALCALDIA DE BARRANQU,False,,,,,,,
ALCALDIA DE BARRANQUI QUILLA,False,,,,,,,
ALCALDIA DE BARRANQUILL,False,,,,,,,
ALCALDIA DE BARRANQUILLA,False,,,,,,,
ALCALDIA DE BARRANQUILLA ALCALDIA DE BARRANQUILLA,False,,,,,,,
ALCALDIA DE BARRANQUILLA DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO,False,,,,,,,
ALCALDIA DE BARRANQUILLA ILLA,False,,,,,,,
ALCALDIA DE BARRANQUILLA LLA,False,,,,,,,
ALCALDIA DE BARRANQUILLA NIT 8901020181,False,,,,,,,
ALCALDIA DE BARRANQUILLA QUILL,False,,,,,,,
ALCALDIA DE BARRANQUILLA QUILLA,False,,,,,,,
ALCALDIA DE BARRANQUILLA SECRETARIA DE TRANSITO Y SEGURIDAD VIAL,False,,,,,,,
ALCALDIA DE BARRANQUILLAQ,False,,,,,,,
ALCALDIA DE BARRANQUILLAS,False,,,,,,,
ALCALDIA DE BARRANQUILLLA,False,,,,,,,
ALCALDIA DE BARRRANQUILLA,False,,,,,,,
ALCALDIA DE BCARAMANGA,False,,,,,,,
ALCALDIA DE BECERRIL,True,ALCALDIA DE BECERRIL,publica,gov,BECERRIL,CESAR,NO APLICA,ACTIVA
